,<CONFIDENTIAL>,,,,,,,,,,,,
Normalized Fluorescence signal from 1000-1200 nm,,,,,,Maximum emission cross section,,,,,,,
,LG-770,LG-760,LG-750,APG-1,,LG-770,LG-760,LG-750,APG-1,,,,Prepared by Dr. Tedi-Marie Usher-Ditzian
Wavelength,Normalized,Normalized,Normalized,Normalized,,_em ,_em ,_em ,_em ,,,,SCHOTT R&D North America
l [nm],"Signal, FC(l)","Signal, FC(l)","Signal, FC(l)","Signal, FC(l)",,[10-20 cm2],[10-20 cm2],[10-20 cm2],[10-20 cm2],,,,"Oct 4th, 2021"
1028.625,0.018266387,0.015138539,0.014832566,0.02255522,,,,,,,,,
1028.75,0.018888597,0.015688023,0.021431551,0.021067291,,,,,,,,,
1028.875,0.017641725,0.01568583,0.020770302,0.025520093,,,,,,,,,
1029,0.016394852,0.016235314,0.019449033,0.02626298,,,,,,,,,
1029.125,0.017017061,0.018439832,0.020767848,0.027745416,,,,,,,,,
1029.25,0.017016244,0.016782608,0.02076662,0.031456235,,,,,,,,,
1029.375,0.015769375,0.014573707,0.020765393,0.02848434,,,,,,,,,
1029.5,0.020129749,0.018984933,0.025384318,0.027740827,,,,,,,,,
1029.625,0.023244072,0.019534417,0.024723066,0.02996768,,,,,,,,,
1029.75,0.021997196,0.018428871,0.022741775,0.033676066,,,,,,,,,
1029.875,0.023865461,0.019530033,0.023400566,0.035902919,,,,,,,,,
1030,0.026356754,0.019527841,0.026039426,0.035901389,,,,,,,,,
1030.125,0.026978964,0.020077324,0.029998328,0.035899859,,,,,,,,,
1030.25,0.024486037,0.01897178,0.028677056,0.037382296,,,,,,,,,
1030.375,0.025108247,0.02227965,0.028675829,0.036638783,,,,,,,,,
1030.5,0.024484403,0.023932487,0.030654665,0.034411304,,,,,,,,,
1030.625,0.027598725,0.02337862,0.029993419,0.036635724,,,,,,,,,
1030.75,0.029466988,0.025583139,0.031312231,0.038118161,,,,,,,,,
1030.875,0.031958282,0.026132622,0.033951089,0.041086996,,,,,,,,,
1031,0.030088381,0.026682106,0.031309776,0.04182745,,,,,,,,,
1031.125,0.031956647,0.026128237,0.033948634,0.041083937,,,,,,,,,
1031.25,0.031332801,0.03109114,0.037907538,0.047023138,,,,,,,,,
1031.375,0.031955013,0.030537269,0.037246286,0.044793226,,,,,,,,,
1031.5,0.033823277,0.029431725,0.036585037,0.046275663,,,,,,,,,
1031.625,0.035691542,0.032187921,0.037243831,0.044790167,,,,,,,,,
1031.75,0.033198613,0.032185728,0.038562646,0.049242969,,,,,,,,,
1031.875,0.035066883,0.031080179,0.036581355,0.049241439,,,,,,,,,
1032,0.038804227,0.033836372,0.040540252,0.052952258,,,,,,,,,
1032.125,0.036934328,0.037144243,0.040539025,0.049980363,,,,,,,,,
1032.25,0.037556535,0.033280311,0.043837906,0.053691182,,,,,,,,,
1032.375,0.040670857,0.032726441,0.0444967,0.051463703,,,,,,,,,
1032.5,0.041293068,0.033827603,0.04317543,0.055172089,,,,,,,,,
1032.625,0.042538306,0.035480443,0.046474309,0.057398942,,,,,,,,,
1032.75,0.041914461,0.038788314,0.047793124,0.061109761,,,,,,,,,
1032.875,0.045651809,0.041544508,0.048451917,0.058879849,,,,,,,,,
1033,0.046274019,0.041542316,0.049770733,0.064077067,,,,,,,,,
1033.125,0.049388337,0.039885093,0.054389654,0.066301487,,,,,,,,,
1033.25,0.048764495,0.042641285,0.052408364,0.065557974,,,,,,,,,
1033.375,0.049386702,0.042639093,0.055047224,0.064814461,,,,,,,,,
1033.5,0.054993135,0.043740256,0.055045997,0.064812931,,,,,,,,,
1033.625,0.056238372,0.043738064,0.05702483,0.067037351,,,,,,,,,
